iter	Passed	Remaining
0	57	57783
1	58	29011
2	58	19437
3	58	14654
4	59	11770
5	59	9840
6	59	8476
7	60	7447
8	60	6646
9	60	6002
10	60	5479
11	61	5041
12	61	4673
13	61	4357
14	62	4080
15	62	3838
16	62	3624
17	62	3434
18	63	3266
19	63	3111
20	63	2972
21	64	2846
22	64	2731
23	64	2626
24	64	2531
25	65	2441
26	65	2357
27	65	2280
28	65	2207
29	66	2146
30	66	2083
31	66	2022
32	67	1967
33	67	1915
34	67	1866
35	67	1819
36	68	1775
37	68	1733
38	68	1693
39	68	1655
40	69	1618
41	69	1584
42	69	1551
43	69	1520
44	70	1491
45	70	1462
46	70	1437
47	71	1412
48	71	1386
49	71	1363
50	71	1339
51	72	1317
52	72	1296
53	72	1275
54	73	1255
55	73	1236
56	73	1220
57	74	1202
58	74	1185
59	74	1168
60	74	1152
61	75	1136
62	75	1120
63	75	1105
64	75	1090
65	76	1076
66	76	1062
67	76	1049
68	76	1036
69	76	1022
70	77	1011
71	77	998
72	77	987
73	77	975
74	78	964
75	78	954
76	78	943
77	78	933
78	79	922
79	79	913
80	79	904
81	79	894
82	80	884
83	80	875
84	80	866
85	80	858
86	81	850
87	81	842
88	81	834
89	81	827
90	82	821
91	82	813
92	82	805
93	82	798
94	83	791
95	83	785
96	83	778
97	83	773
98	84	767
99	84	760
100	84	754
101	85	748
102	85	742
103	85	737
104	85	731
105	86	725
106	86	719
107	86	714
108	86	709
109	86	703
110	87	698
111	87	694
112	87	689
113	88	684
114	88	680
115	88	675
116	88	670
117	89	666
118	89	661
119	89	657
120	89	652
121	89	647
122	90	643
123	90	638
124	90	634
125	91	631
126	91	626
127	91	622
128	91	618
129	91	615
130	92	611
131	92	607
132	92	604
133	93	601
134	93	597
135	93	593
136	93	590
137	93	586
138	94	583
139	94	580
140	94	576
141	94	573
142	95	570
143	95	567
144	95	564
145	96	563
146	96	559
147	96	556
148	96	553
149	97	550
150	97	547
151	97	545
152	97	542
153	98	539
154	98	536
155	98	534
156	99	532
157	99	529
158	99	526
159	99	524
160	99	521
161	100	518
162	100	516
163	100	513
164	100	510
165	101	508
166	101	505
167	101	504
168	102	502
169	102	499
170	102	497
171	102	495
172	103	493
173	103	491
174	103	488
175	104	486
176	104	485
177	104	482
178	104	481
179	105	479
180	105	477
181	105	475
182	105	473
183	106	471
184	106	468
185	106	467
186	107	465
187	107	463
188	107	461
189	107	459
190	107	457
191	108	455
192	108	453
193	108	452
194	109	450
195	109	448
196	109	446
197	109	444
198	110	443
199	110	441
200	110	439
201	111	441
202	111	439
203	112	437
204	112	436
205	112	434
206	112	432
207	113	430
208	113	429
209	113	427
210	113	426
211	114	424
212	114	423
213	114	422
214	115	420
215	115	418
216	115	417
217	115	415
218	116	414
219	116	412
220	116	411
221	116	409
222	117	408
223	117	406
224	117	405
225	117	403
226	118	402
227	118	401
228	118	399
229	118	398
230	119	396
231	119	395
232	119	393
233	119	392
234	120	390
235	120	389
236	120	388
237	120	386
238	121	385
239	121	384
240	121	382
241	121	381
242	122	380
243	122	378
244	122	378
245	122	376
246	123	376
247	123	374
248	123	373
249	124	372
250	124	370
251	124	369
252	124	368
253	124	367
254	125	365
255	125	364
256	125	363
257	125	362
258	126	361
259	126	360
260	126	359
261	127	357
262	127	356
263	127	355
264	127	354
265	128	353
266	128	352
267	128	351
268	128	349
269	129	348
270	129	347
271	129	346
272	129	345
273	130	344
274	130	343
275	130	342
276	130	341
277	131	340
278	131	339
279	131	338
280	131	337
281	132	336
282	132	335
283	132	334
284	132	333
285	133	332
286	133	331
287	133	330
288	133	329
289	134	328
290	134	327
291	134	326
292	135	325
293	135	324
294	135	324
295	135	323
296	136	322
297	136	321
298	136	320
299	136	319
300	137	318
301	137	318
302	137	317
303	138	316
304	138	315
305	138	314
306	138	313
307	139	312
308	139	311
309	139	310
310	139	309
311	140	308
312	140	308
313	140	307
314	140	306
315	141	305
316	141	304
317	141	303
318	142	303
319	142	302
320	142	301
321	142	300
322	143	299
323	143	299
324	143	298
325	144	297
326	144	296
327	144	296
328	144	295
329	145	294
330	145	293
331	145	292
332	145	292
333	146	291
334	146	290
335	146	289
336	146	288
337	147	287
338	147	287
339	147	286
340	147	285
341	148	284
342	148	284
343	148	283
344	148	282
345	148	281
346	149	280
347	149	280
348	149	279
349	150	278
350	150	277
351	150	277
352	150	276
353	151	275
354	151	274
355	151	274
356	151	273
357	151	272
358	152	271
359	152	271
360	152	270
361	152	269
362	153	269
363	153	268
364	153	267
365	154	267
366	154	266
367	154	265
368	154	264
369	155	264
370	155	263
371	155	262
